NÚMERO DO TERMO;ANO DO TERMO;CPF/CNPJ;RAZÃO SOCIAL;OBJETO;DATA DA ASSINATURA;DATA DE PUBLICAÇÃO;VIGÊNCIA;SITUAÇÃO
61;2006;00394460005887;SECRETARIA DA RECEITA FEDERAL;Fornecimento de informações cadastrais de pessoas físicas e jurídicas.;28/11/2006;08/12/2006;;Não informada
10;2009;05475103000121;SECRETARIA DE ESTADO DE GOVERNO - SEGOV;Cessão, pela SEGOV, do direito de acesso ao sistema Transacional e treinamento para sua utilização. SIGCON;10/12/2009;11/12/2009;12/10/2020 00:00:00;Não informada
0;2009;00414607001009;TRIBUNAL DE CONTAS DA UNIÃO;Rede de Fiscalização e Controle da Gestão Pública.;20/11/2009;03/12/2009;;Não informada
0;2009;00414607001009;TRIBUNAL DE CONTAS DA UNIÃO;Articulação de apoio a ações de fiscalização e formação de rede de relacionamento para o controle da gestão pública.;25/03/2009;06/04/2009;;Não informada
1;2010;03551542000140;ASSOCIAÇÃO DOS SERVIDORES DO TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS - ASSCONTAS;Termo de Autorização de Uso nº 001/2010, a título precário, não oneroso, intransferível e por prazo indeterminado, do uso de uma sala localizada no 1º andar do Edifício Anexo I do Tribunal, de área total de 77,40 m² (setenta e sete vírgula quarenta metros quadrados), para viabilizar a realização dos objetivos sociais constantes do estatuto da Associação dos Servidores do Tribunal de Contas do Estado de Minas Gerais, voltados à representação e realização dos interesses dos seus associados.;19/11/2010;25/11/2010;;Não informada
0;2010;00414607000118;TRIBUNAL DE CONTAS DA UNIÃO;Acompanhamento das ações governamentais para a Copa do Mundo de 2014.;11/05/2010;02/06/2010;;Não informada
0;2010;00414607000118;TRIBUNAL DE CONTAS DA UNIÃO;O licenciamento de uso, não oneroso, sem fins comerciais, do programa de computador denominado Sistema de Jurisprudência Sistematizada - SISJUR.;11/05/2010;17/05/2010;;Não informada
0;2010;00414607000118;TRIBUNAL DE CONTAS DA UNIÃO;Licenciamento de uso, não oneroso, sem fins comerciais, do programa de computador denominado Sistema Fiscalis Módulo Off-Line.;11/05/2010;13/05/2010;;Não informada
2;2011;16695025000197;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;Transferência de bens ociosos à Polícia Militar do Estado de Minas Gerais.;27/01/2011;31/01/2011;07/25/2025 00:00:00;Não informada
0;2012;04389228000176;BANCO INTERAMERICANO DE DESENVOLVIMENTO;Estabelecer os procedimentos a serem adotados pelo Tribunal na realização dos trabalhos de auditoria dos Projetos e Programas financiados pelo BID.;05/06/2012;11/06/2012;;Não informada
0;2013;58723800000110;INSTITUTO RUI BARBOSA - IRB;Realização de ações de âmbito nacional coordenada com os Tribunais de Contas brasileiros, objetivando sistematizar o intercâmbio de informações relativas à gestão e patrimônio dos Regimes Próprios de Previdenciária Social - RPPS.;09/05/2013;02/08/2013;;Não informada
0;2013;58723800000110;INSTITUTO RUI BARBOSA - IRB;Adesão à sistemática de avaliação a ser realizada segundo os parâmetros, itens e critérios de qualidade e agilidade do controle externo no âmbito dos Tribunais de Contas estabelecidos em regulamento aprovado pelo Conselho Deliberativo da ATRICON. ;02/07/2013;02/08/2013;;Não informada
0;2013;58723800000110;INSTITUTO RUI BARBOSA - IRB;Formação da Rede Nacional de Informações Estratégicas para o Controle Externo, visando intercâmbios de dados e conhecimentos por meio das unidades de informações.;02/07/2013;02/08/2013;;Não informada
0;2013;58723800000110;INSTITUTO RUI BARBOSA - IRB;Estabelecer um padrão mínimo de dados e informações e implementar a interoperabilidade entre órgãos de controle e fiscalização.;21/03/2013;02/08/2013;08/02/2015 00:00:00;Não informada
12;2014;19933205000158;INSTITUTO AMM;troca de conhecimento e do compartilhamento de ações educacionais, incluindo a concessão de desconto nas mensalidades dos curso de graduação oferecidos pela Instituição de Ensino Superior - IES, para os servidores e funcionários do TCE/MG.;01/12/2014;03/12/2014;;Não informada
1;2014;00418993000116;CONSELHO ADMINISTRATIVO DE DEFESA ECONÔMICA;Acordo de Cooperação  que permitam intercâmbio de dados e informações, métodos e técnicas de trabalho entre o TCEMG e o CADE, além da promoção recíproca de projetos de capacitação profissional, possibilitando uma atuação ágil e aprimorada relativa à àrea de competência dos partícipes, em especial na repressão a cartéis em licitações.;10/06/2014;27/05/2019;06/10/2024 00:00:00;Não informada
44000001;2015;00394528000192;MINISTÉRIO DO TRABALHO E PREVIDÊNCIA SOCIAL-MPS;"ACORDO DE COOPERAÇÃO TÉCNICA Nº44.000.001597/2015-70
Intercâmbio de informações previdenciárias.";31/12/2015;29/01/2016;01/29/2021 00:00:00;Não informada
1;2016;04967700000177;TRIBUNAL DE CONTAS DO ESTADO DO PARÁ;Estabelecer programa de cooperação educacional, técnico e científico entre os partícipes para o desenvolvimento de cursos, sistemas tecnológicos, estudos, pesquisas e ações direcionadas à capacitação de servidores, membros e gestores públicos. ;28/03/2016;31/03/2016;03/28/2022 00:00:00;Não informada
3;2016;;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;Intercâmbio de conhecimentos, experiências, rotinas e técnicas, visando ao aperfeiçoamento das Instituições Cooperadas, no exercício das suas funções institucionais, bem como o compartilhamento, pelo GMG, do Sistema Integrado de Informações sobre Desastres - S2ID;01/11/2016;08/11/2016;12/31/2020 00:00:00;Não informada
1;2016;;IRB;Estabelecimento da Rede Nacional de Indicadores Públicos - REDE INDICON, com a finalidade de compartilhar instrumentos de medição do desempenho da gestão pública brasileira, boas práticas e o conhecimento deles advindos na avaliação da gestão pública, bem como auxiliar e subsidiar a ação fiscalizatória exercida pelo controle externo. ;18/04/2016;29/04/2016;04/18/2021 00:00:00;Não informada
1;2016;00360305000104;CAIXA ECONÔMICA FEDERAL;Cessão de uso de espaço físico, localizado no 1º andar do Edifício Anexo I, para instalação de 1 (um) terminal de atendimento bancário (caixa eletrônico), para uso dos servidores e funcionários do Tribunal. ;27/04/2016;28/04/2016;04/27/2021 00:00:00;Não informada
1;2016;04807221000110;TRIBUNAL DE CONTAS DO ESTADO DE RONDÔNIA;Conjugação de esforços entre os partícipes, mediante ações institucionais, colaborações mútuas e intercâmbio de conhecimento em prol da melhoria do exercício da atividade de controle externo. ;18/05/2016;17/06/2016;05/18/2021 00:00:00;Não informada
2;2016;27532498000190;TRIBUNAL DE CONTAS DO MUNICÍPIO DO RIO DE JANEIRO ;Intercâmbio e cooperação técnica entre os partícipes visando à disponibilização, pelo TCEMG, em caráter personalíssimo e intransferível, do uso das ferramentas: sistema TCJuris, MapJuris, TCLegis, tesauro e estrutura de dados acessada pelo TCJuris. ;24/06/2016;29/06/2016;06/24/2021 00:00:00;Não informada
5;2016;00000000000191;BANCO DO BRASIL S.A;troca de informações sobre o Programa de Formação do Patrimônio do Servidor Público - PASEP. ;17/08/2016;19/08/2016;08/17/2021 00:00:00;Não informada
2;2016;00000000000191;BANCO DO BRASIL S.A;"Cessão de uso de espaço físico no 1º andar do Ed. Anexo I e no 2º andar do Ed. Sede do Tribunal, para instalação de 2 (dois) caixas eletrônicos. 
Vigência: 60 (sessenta) meses, a partir da data da sua assinatura. 
Data da assinatura: 25/08/2016. 
Sem ônus.
";25/08/2016;26/08/2016;08/25/2021 00:00:00;Não informada
1;2016;21154554000113;TRIBUNAL DE JUSTIÇA DE MINAS GERAIS - TJMG;Cooperação técnica para possibilitar a transferência mútua de conhecimentos, por meio de servidores especializados pertencentes aos quadros de ambos os Tribunais.;09/09/2016;14/09/2016;09/09/2021 00:00:00;Não informada
3;2016;12395125000147;TRIBUNAL DE CONTAS DO ESTADO DE ALAGOAS;intercâmbio e a cooperação técnica visando à disponibilização pelo TCEMG, em caráter personalíssimo e intransferível, dos Sistemas TCJuris, MapJuris, TCLegis, Tesauro e estrutura de dados acessada pelo TCJuris. ;07/11/2016;30/11/2016;11/07/2021 00:00:00;Não informada
4;2016;32634420000116;TRIBUNAL DE CONTAS DOS MUNICÍPIOS DO ESTADO DA BAHIA ;Intercâmbio e a cooperação técnica visando à disponibilização pelo TCEMG, em caráter personalíssimo e intransferível, dos Sistemas TCJuris, MapJuris, TCLegis, Tesauro e estrutura de dados acessada pelo TCJuris. ;16/11/2016;30/11/2016;11/16/2021 00:00:00;Não informada
6;2016;05585681000110;CONTROLADORIA GERAL DO ESTADO;desenvolvimento de projetos e ações que possam contribuir para prevenção e combate à corrupção, promoção da transparência e da ética pública, fomento do controle social e fortalecimento da gestão pública, com maior efetividade na proteção dos recursos públicos. ;19/12/2016;30/01/2017;12/19/2021 00:00:00;Não informada
4;2016;17486275000180;JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS - JUCEMG;"cooperação mútua entre os partícipes de forma a possibilitar ao Tribunal de Contas o acesso à Base de Dados do Cadastro Estadual de Empresas Mercantis,
organizada, mantida e atualizada pela JUCEMG.";27/07/2016;28/07/2016;;Não informada
7;2016;;CREA - CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA;Intercâmbio de informações e cooperação técnica;21/11/2016;22/11/2016;11/21/2021 00:00:00;Não informada
0;2016;21275737000197;FUNDAÇÃO DE PREVIDÊNCIA COMPLEMENTAR DO ESTADO DE MINAS GERAIS - PREVCOM/MG;Formalização do Plano de Benefícios PREVPLAN destinados aos servidores titulares de cargos efetivos e aos membros de Magistratura, do Ministério Público, da Defensoria Pública e dos Conselheiros do Tribunal de Contas.;04/10/2016;06/10/2016;;Não informada
10;2017;05914685000103;CONTROLADORIA GERAL DA UNIÃO, UNIÃO, MINISTÉRIO DA TRANSPARÊNCIA, ESTADO DE MG, POR INTERMÉDIO DO TCEMG.;Estabelecer mecanismos de cooperação entre a CGU e o TCEMG, visando ao desenvolvimento de projetos e ações que possam contribuir para a prevenção e o combate à corrupção.;10/02/2017;14/02/2017;02/10/2022 00:00:00;Não informada
1;2017;16695025000197;POLICIA MILITAR DE MINAS GERAIS;O presente Termo de Cooperação Técnica tem por finalidade estabelecer a mútua cooperação institucional entre os partícipes, concretizado com o auxílio da PMMG no planejamento e na execução de ações de polícia preventiva e corretiva, de segurança pessoal, bem como instituir canal de relacionamento que propicie maior integração e intercâmbio de informações entre o TCEMG e a PMMG, como também favoreça a articulação com as representações policiais do Estado de Minas Gerais com vistas a apoiar os membros do TCEMG.;31/03/2017;31/05/2017;04/01/2027 00:00:00;Não informada
2;2017;18715383000140;MUNICIPIO DE BELO HORIZONTE POR SUA CONTROLADORIA GERAL;Estabelecimento de mecanismos de cooperação entre CTGM e o Tribunal, visando o desenvolvimento de projetos e ações que possam contribuir para a prevenção e o combate à corrupção.;12/06/2017;13/06/2017;06/12/2022 00:00:00;Não informada
337;2017;21154554000113;TJMG, SEPLAG,MPMG,TJM;CESSÃO DO DIREITO DE USO DO SEI - SISTEMA ELETRONICO DE INFORMAÇÕES - BOAS PRÁTICAS DO USO DO SEI;16/08/2018;31/08/2018;08/31/2022 00:00:00;Não informada
